City,Date,Day,Max Temp C,Min Temp C,Avg Temp C,Max Temp F,Min Temp F,Avg Temp F,Total Precip mm,Avg Humidity %,Max Wind kph,Condition
Sarajevo,2025-12-23,Tuesday,8.6,2.1,4.9,47.5,35.8,40.8,1.7,83,5.8,Patchy rain possible
Sarajevo,2025-12-24,Wednesday,7.3,3.4,5.0,45.1,38.1,41.0,5.9,93,5.4,Light drizzle
Sarajevo,2025-12-25,Thursday,4.2,1.5,3.0,39.6,34.7,37.4,0.0,92,6.5,Light snow showers
Sarajevo,2025-12-26,Friday,1.7,-1.7,-0.0,35.1,28.9,32.0,0.0,92,5.0,Light snow
Sarajevo,2025-12-27,Saturday,4.6,-1.7,0.5,40.3,28.9,32.9,0.0,80,4.0,Mist
Sarajevo,2025-12-28,Sunday,2.7,-3.5,-0.1,36.9,25.7,31.8,0.0,69,12.2,Sunny
Sarajevo,2025-12-29,Monday,8.4,-3.2,1.4,47.1,26.2,34.5,0.0,42,7.6,Sunny
