City,Date,Day,Max Temp C,Min Temp C,Avg Temp C,Max Temp F,Min Temp F,Avg Temp F,Total Precip mm,Avg Humidity %,Max Wind kph,Condition
Bakar,2025-12-09,Tuesday,12.8,7.2,9.3,55.0,45.0,48.7,0.0,73,6.5,Sunny
Bakar,2025-12-10,Wednesday,11.5,4.6,7.7,52.7,40.3,45.9,0.0,76,5.0,Overcast
Bakar,2025-12-11,Thursday,13.0,5.4,8.3,55.4,41.7,46.9,0.0,74,10.8,Sunny
Bakar,2025-12-12,Friday,12.3,3.9,7.6,54.1,39.0,45.7,0.0,80,11.2,Partly cloudy
Bakar,2025-12-13,Saturday,12.2,5.4,7.9,54.0,41.7,46.2,0.0,65,10.8,Partly cloudy
Bakar,2025-12-14,Sunday,11.8,4.0,7.0,53.2,39.2,44.6,0.0,57,8.3,Sunny
Bakar,2025-12-15,Monday,10.5,4.2,6.7,50.9,39.6,44.1,0.0,61,6.1,Sunny
