City,Date,Day,Max Temp C,Min Temp C,Avg Temp C,Max Temp F,Min Temp F,Avg Temp F,Total Precip mm,Avg Humidity %,Max Wind kph,Condition
Daytona,2025-12-30,Tuesday,18.3,10.0,13.6,64.9,50.0,56.5,0.0,49,21.2,Partly cloudy
Daytona,2025-12-31,Wednesday,16.0,5.2,10.2,60.8,41.4,50.4,0.0,36,18.4,Sunny
Daytona,2026-01-01,Thursday,19.2,5.2,11.7,66.6,41.4,53.1,0.0,35,14.8,Sunny
Daytona,2026-01-02,Friday,19.0,8.1,13.9,66.2,46.6,57.0,0.0,60,13.0,Overcast
Daytona,2026-01-03,Saturday,21.8,13.4,17.3,71.2,56.1,63.1,0.0,77,22.7,Partly cloudy
Daytona,2026-01-04,Sunday,18.7,14.9,17.0,65.7,58.8,62.6,0.0,91,22.3,Fog
Daytona,2026-01-05,Monday,20.8,16.4,18.1,69.4,61.5,64.6,10.9,89,13.0,Light rain
