City,Date,Day,Max Temp C,Min Temp C,Avg Temp C,Max Temp F,Min Temp F,Avg Temp F,Total Precip mm,Avg Humidity %,Max Wind kph,Condition
Oxford,2025-12-27,Saturday,7.0,0.1,3.7,44.6,32.2,38.7,0.0,84,29.2,Overcast
Oxford,2025-12-28,Sunday,5.8,1.2,3.7,42.4,34.2,38.7,0.0,85,22.7,Overcast
Oxford,2025-12-29,Monday,6.3,3.4,5.2,43.3,38.1,41.4,0.0,72,24.8,Overcast
Oxford,2025-12-30,Tuesday,5.1,-0.1,3.3,41.2,31.8,37.9,0.0,75,25.9,Patchy rain possible
Oxford,2025-12-31,Wednesday,4.3,-0.4,0.8,39.7,31.3,33.4,0.0,87,13.0,Sunny
Oxford,2026-01-01,Thursday,5.3,-0.3,2.5,41.5,31.5,36.5,0.2,82,26.3,Patchy rain possible
Oxford,2026-01-02,Friday,2.5,-1.4,0.7,36.5,29.5,33.3,1.2,79,28.1,Partly cloudy
